User_ID,Calories_Consumed,Protein_Intake_g,Junk_Food_Frequency_week,Diet_Quality_Score
1001,2572,127,4,9
1002,1495,71,4,6
1003,2337,82,3,9
1004,2617,103,1,10
1005,2272,93,3,8
1006,2293,126,5,10
1007,2308,97,2,10
1008,2351,87,1,10
1009,1929,123,3,10
1010,2262,90,0,10
1011,1991,86,2,10
1012,2135,71,3,9
1013,2367,105,0,10
1014,1731,88,2,10
1015,2241,112,3,10
1016,2372,107,2,10
1017,2617,118,1,10
1018,1300,53,0,10
1019,1754,65,1,10
1020,2276,99,2,10
1021,3031,115,8,3
1022,2541,111,1,10
1023,1814,81,2,10
1024,2207,98,0,10
1025,2159,98,2,10
1026,1426,83,2,10
1027,1899,84,1,10
1028,1242,68,6,6
1029,2467,110,3,10
1030,3482,161,1,10
1031,1984,90,2,10
1032,2025,88,5,5
1033,1997,101,3,9
1034,1695,75,1,10
1035,2635,120,1,10
1036,2760,133,1,10
1037,1690,90,3,10
1038,2364,102,0,10
1039,2474,116,1,10
1040,2479,150,2,10
1041,2496,107,1,10
1042,2334,107,4,9
1043,2262,104,1,10
1044,2012,82,3,8
1045,2237,97,3,10
1046,2786,109,3,9
1047,2972,135,2,10
1048,1827,87,3,8
1049,2649,109,4,7
1050,2729,121,1,10
1051,2363,98,3,10
1052,2245,97,1,10
1053,1795,87,3,10
1054,2725,106,3,10
1055,1912,101,1,10
1056,2630,100,1,10
1057,2619,106,1,10
1058,1728,66,4,8
1059,2200,91,0,10
1060,1892,117,0,10
1061,2940,144,1,10
1062,2247,128,5,9
1063,2671,126,2,10
1064,2840,93,3,8
1065,1962,91,3,9
1066,1433,57,4,5
1067,1457,62,1,8
1068,2881,122,2,10
1069,1734,110,3,9
1070,2211,93,4,7
1071,2492,90,4,8
1072,2591,128,1,10
1073,1528,85,5,6
1074,1633,69,1,10
1075,3088,138,4,10
1076,2996,125,2,10
1077,2812,118,4,10
1078,3057,126,1,10
1079,1766,94,2,10
1080,1953,72,2,9
1081,1976,68,6,4
1082,2435,122,2,10
1083,2200,89,2,9
1084,2481,105,4,7
1085,2475,79,1,10
1086,2094,110,5,7
1087,2366,69,1,10
1088,1259,56,4,7
1089,2487,108,6,8
1090,2548,102,1,10
1091,2078,84,4,6
1092,2564,110,0,10
1093,2063,88,6,5
1094,1578,72,1,10
1095,1690,85,1,10
1096,2592,116,0,10
1097,1775,82,5,7
1098,2429,83,1,10
1099,2207,77,1,10
1100,2273,109,0,10
1101,2784,105,2,8
1102,3158,122,2,10
1103,2994,147,0,10
1104,1551,86,1,10
1105,2586,137,1,10
1106,1952,101,1,10
1107,2559,124,4,8
1108,1807,90,1,10
1109,1377,73,0,10
1110,2609,133,3,10
1111,2370,81,5,7
1112,1921,59,4,6
1113,3105,146,0,10
1114,1654,80,1,10
1115,3033,156,0,10
1116,1962,99,3,10
1117,2565,138,2,10
1118,1912,97,3,10
1119,2368,127,1,10
1120,2174,110,3,9
1121,2437,119,1,10
1122,2793,135,2,10
1123,1808,97,1,10
1124,1797,79,2,10
1125,2624,114,1,10
1126,2005,100,0,10
1127,2492,123,2,10
1128,2570,96,4,8
1129,1182,61,1,10
1130,2396,114,2,10
1131,1815,81,6,6
1132,2743,135,1,10
1133,1957,72,2,10
1134,2392,127,2,10
1135,1843,113,1,10
1136,2312,101,3,9
1137,1792,78,5,6
1138,2258,88,2,8
1139,2104,99,2,10
1140,2595,101,1,10
1141,1556,44,2,8
1142,2746,109,6,6
1143,2992,148,4,10
1144,2357,101,1,10
1145,1688,79,1,10
1146,1918,77,3,8
1147,1865,105,0,10
1148,2375,96,2,10
1149,2299,95,3,10
1150,2773,137,0,10
1151,2151,61,2,10
1152,1681,62,2,8
1153,1747,98,3,10
1154,2011,87,2,10
1155,2172,84,1,10
1156,1956,88,3,10
1157,2558,114,4,9
1158,2340,122,4,8
1159,1642,70,1,10
1160,1724,69,3,8
1161,3342,167,2,10
1162,2696,133,4,10
1163,2386,108,1,10
1164,1676,80,3,7
1165,1838,105,2,10
1166,2103,88,3,9
1167,2466,118,3,10
1168,2759,127,2,10
1169,1972,66,2,8
1170,2594,77,2,10
1171,2984,118,2,10
1172,2457,102,2,10
1173,1755,91,1,10
1174,2088,83,2,10
1175,2042,86,0,10
1176,2471,84,3,9
1177,1915,87,5,6
1178,3271,132,2,10
1179,1510,54,2,10
1180,1959,92,1,10
1181,2299,92,2,10
1182,1443,62,4,6
1183,2262,103,3,10
1184,1479,99,0,10
1185,2458,122,3,9
1186,2499,132,2,10
1187,2195,72,1,10
1188,1853,82,2,10
1189,1996,66,3,8
1190,3096,123,0,10
1191,1702,49,2,8
1192,2302,75,1,10
1193,1738,91,2,10
1194,2104,106,2,10
1195,1037,75,1,10
1196,2240,103,1,10
1197,2579,128,4,10
1198,1509,84,2,9
1199,2631,96,1,10
1200,3138,142,3,10
1201,2390,107,0,10
1202,2477,114,1,10
1203,2289,123,1,10
1204,2417,106,1,10
1205,2407,78,2,7
1206,1472,33,2,7
1207,2492,109,0,10
1208,2431,97,4,9
1209,2148,75,2,10
1210,1813,69,4,9
1211,2484,123,1,10
1212,1968,93,1,10
1213,2113,95,1,10
1214,1925,89,1,10
1215,2353,107,2,10
1216,1838,98,3,9
1217,1033,50,0,10
1218,2391,81,1,9
1219,1541,76,2,10
1220,1723,85,3,10
1221,2333,109,2,10
1222,2144,109,1,10
1223,1811,71,2,10
1224,2163,106,2,10
1225,2983,154,1,10
1226,2078,87,4,9
1227,2730,122,2,10
1228,2324,101,1,10
1229,2595,96,1,10
1230,2072,111,3,10
1231,2450,106,1,10
1232,3074,126,3,10
1233,2078,104,1,10
1234,2273,119,2,10
1235,1884,78,4,8
1236,1582,71,3,8
1237,1710,66,2,10
1238,2363,97,4,10
1239,2618,101,2,10
1240,2133,83,2,10
1241,2055,88,3,9
1242,2614,122,4,9
1243,1942,100,3,10
1244,2225,86,3,8
1245,3309,148,2,10
1246,3475,176,1,10
1247,2728,119,3,10
1248,2369,99,0,10
1249,2836,124,1,10
1250,1271,68,1,10
1251,1970,96,0,10
1252,2282,109,4,9
1253,1511,91,6,6
1254,2084,90,4,9
1255,1984,101,0,10
1256,2352,108,2,9
1257,2330,111,5,8
1258,1541,73,3,10
1259,2237,100,2,10
1260,3396,154,3,10
1261,2629,90,1,10
1262,1872,99,2,10
1263,1656,63,2,7
1264,2259,84,2,9
1265,1928,66,1,10
1266,2166,105,1,10
1267,2453,108,6,8
1268,1719,90,3,9
1269,2273,143,2,10
1270,1647,58,3,9
1271,1757,91,2,10
1272,2245,105,0,10
1273,2278,122,2,10
1274,2480,88,5,7
1275,2265,71,1,10
1276,2792,116,2,10
1277,2299,99,4,6
1278,2930,113,3,10
1279,1611,66,1,10
1280,2217,103,2,10
1281,2442,115,2,10
1282,1734,74,3,9
1283,2076,94,4,10
1284,2096,87,1,10
1285,2003,101,1,10
1286,2560,99,3,10
1287,2356,96,1,10
1288,2383,122,6,7
1289,2001,71,1,10
1290,2399,106,3,9
1291,1619,82,0,10
1292,2158,120,1,10
1293,2470,103,2,10
1294,2010,64,4,7
1295,2050,90,0,10
1296,1857,86,3,8
1297,1970,92,3,9
1298,2542,110,4,9
1299,1467,53,3,7
1300,2374,71,3,10
1301,2122,60,3,8
1302,1985,70,1,10
1303,2357,99,4,7
1304,1719,67,1,9
1305,2330,126,3,10
1306,1995,108,4,8
1307,1857,68,1,10
1308,2122,81,3,10
1309,2427,101,2,10
1310,2303,74,3,10
1311,2047,111,1,10
1312,2075,94,2,9
1313,1835,78,0,10
1314,1984,91,3,9
1315,2030,111,0,10
1316,1620,54,3,7
1317,1198,53,0,10
1318,1745,89,3,8
1319,2572,112,4,10
1320,2551,100,1,10
1321,2727,99,4,6
1322,2226,97,3,10
1323,2502,124,3,10
1324,2166,102,3,8
1325,1152,69,3,9
1326,2474,132,0,10
1327,1623,61,4,6
1328,1811,85,2,10
1329,2867,113,1,10
1330,1562,72,1,10
1331,1313,75,5,5
1332,2661,106,1,10
1333,1309,65,4,7
1334,920,25,2,6
1335,1559,60,5,6
1336,2238,114,3,10
1337,2409,111,4,10
1338,2424,82,4,7
1339,2515,115,1,10
1340,1971,80,4,7
1341,2744,95,2,10
1342,2608,99,1,10
1343,1872,75,4,7
1344,2160,109,5,7
1345,3092,134,3,10
1346,2344,91,2,10
1347,3310,117,0,10
1348,1136,89,2,10
1349,1920,80,1,10
1350,1841,91,3,8
1351,1622,48,1,10
1352,1690,60,4,5
1353,2325,92,3,9
1354,1947,87,1,10
1355,2240,89,2,9
1356,1850,105,2,10
1357,1973,106,0,10
1358,1063,58,1,10
1359,2593,107,2,10
1360,2940,117,3,10
1361,2185,121,1,10
1362,2325,87,2,10
1363,1720,74,2,9
1364,1339,37,3,6
1365,2078,89,0,10
1366,1563,92,1,10
1367,2849,112,4,9
1368,2634,152,2,10
1369,2637,137,3,10
1370,1713,65,1,10
1371,2042,72,3,9
1372,2802,110,1,10
1373,1883,80,1,10
1374,1967,71,0,10
1375,2630,143,2,10
1376,2055,98,3,10
1377,1760,82,0,10
1378,2341,111,2,9
1379,2735,101,3,8
1380,2395,99,1,10
1381,2481,119,1,10
1382,2400,93,1,10
1383,2677,127,5,8
1384,2657,125,1,10
1385,1518,81,1,10
1386,2239,106,3,7
1387,1964,90,3,9
1388,2168,97,1,9
1389,2945,136,3,10
1390,2675,133,1,10
1391,1454,46,3,6
1392,1766,96,3,10
1393,1979,69,1,10
1394,2444,117,3,10
1395,2419,113,2,10
1396,2735,122,2,9
1397,2562,97,1,10
1398,1751,76,2,9
1399,2006,105,1,10
1400,2498,112,3,9
1401,2542,108,6,6
1402,2899,139,0,10
1403,3393,149,0,10
1404,2285,100,1,10
1405,2496,107,0,10
1406,2922,115,2,10
1407,2149,89,1,10
1408,2279,100,1,10
1409,1607,88,5,6
1410,2473,124,3,10
1411,2157,80,5,7
1412,2312,108,4,9
1413,2177,102,2,10
1414,1244,41,1,9
1415,2217,94,1,10
1416,2050,119,3,10
1417,1298,58,2,9
1418,2137,85,3,10
1419,1740,71,5,3
1420,1975,84,1,10
1421,1673,71,1,10
1422,2542,129,3,10
1423,1655,51,1,10
1424,2167,93,4,7
1425,2625,143,1,10
1426,1858,85,1,10
1427,1962,111,2,10
1428,1854,68,4,7
1429,1606,51,2,10
1430,1924,115,3,10
1431,2771,129,2,10
1432,2634,131,3,10
1433,1620,65,1,10
1434,2589,112,2,10
1435,2145,115,2,10
1436,2130,76,3,6
1437,2764,126,2,10
1438,2385,126,2,10
1439,2037,86,2,10
1440,1787,98,1,10
1441,1867,75,0,10
1442,1948,98,0,10
1443,958,38,2,9
1444,2154,68,3,7
1445,2196,118,2,10
1446,3137,145,4,10
1447,2672,127,3,8
1448,1600,86,1,10
1449,2712,130,1,10
1450,2946,131,4,8
1451,1841,81,1,10
1452,2282,91,0,10
1453,2256,134,1,10
1454,2548,100,0,10
1455,2763,105,1,10
1456,2039,93,2,10
1457,2592,115,2,10
1458,1432,80,1,10
1459,2272,87,1,10
1460,2324,120,3,10
1461,2730,106,1,10
1462,1946,53,1,9
1463,2144,118,5,7
1464,2495,101,2,9
1465,2193,99,1,10
1466,2246,113,2,10
1467,1998,99,1,10
1468,2498,87,1,10
1469,2609,82,2,10
1470,2033,89,5,8
1471,2339,138,3,10
1472,2967,116,2,10
1473,1363,57,0,10
1474,2541,135,3,10
1475,1367,67,1,10
1476,2485,132,1,10
1477,2544,131,2,10
1478,1521,82,4,9
1479,2484,102,1,10
1480,1734,67,1,10
1481,3150,130,3,10
1482,1880,65,1,10
1483,2819,113,2,10
1484,2064,75,0,10
1485,2164,100,1,10
1486,2287,106,3,10
1487,2594,108,3,8
1488,1727,84,0,10
1489,1814,72,2,10
1490,2466,131,2,10
1491,2294,105,2,10
1492,2091,83,2,10
1493,2115,77,2,9
1494,2337,113,2,10
1495,2429,120,1,10
1496,1813,91,2,10
1497,2751,135,1,10
1498,2747,119,3,9
1499,2636,126,2,10
1500,2613,115,2,10
1501,2163,81,2,10
1502,2379,87,3,9
1503,1603,57,1,10
1504,1894,54,3,8
1505,2228,73,5,6
1506,1506,70,0,10
1507,1505,39,2,8
1508,2229,83,4,8
1509,3437,140,3,10
1510,1599,84,0,10
1511,2775,154,4,10
1512,1867,82,0,10
1513,1947,72,0,10
1514,2416,101,6,7
1515,2844,144,2,10
1516,2675,134,2,10
1517,2348,124,2,10
1518,2413,126,1,10
1519,1190,42,3,6
1520,2987,111,1,10
1521,2748,97,2,10
1522,2051,84,5,6
1523,2817,118,3,10
1524,1680,87,4,8
1525,1793,84,2,9
1526,2047,79,3,8
1527,2599,121,0,10
1528,2270,91,2,10
1529,1182,79,2,10
1530,2613,119,3,10
1531,1558,82,2,10
1532,2246,103,3,10
1533,2407,95,2,10
1534,2375,99,5,8
1535,2306,110,4,7
1536,2397,109,1,10
1537,2820,136,1,10
1538,2446,112,3,10
1539,2614,120,1,10
1540,2590,127,1,10
1541,1984,63,3,6
1542,1995,82,4,6
1543,2132,104,1,10
1544,2474,93,2,10
1545,2187,99,4,9
1546,2107,99,3,10
1547,2783,99,2,10
1548,2921,147,4,9
1549,2146,106,3,10
1550,1536,77,5,6
1551,1463,55,2,9
1552,2323,124,3,10
1553,2652,89,0,10
1554,1520,72,1,10
1555,1481,54,4,5
1556,2176,124,1,10
1557,2326,96,0,10
1558,2699,125,4,9
1559,2188,87,4,9
1560,2295,91,0,10
1561,1778,97,1,10
1562,2253,105,1,10
1563,2479,91,1,10
1564,2083,120,1,10
1565,2029,106,1,10
1566,2279,109,2,10
1567,2046,60,1,10
1568,3008,151,1,10
1569,2323,108,2,10
1570,2756,134,0,10
1571,1792,98,2,8
1572,2741,92,1,10
1573,2709,103,3,10
1574,2189,137,3,10
1575,3208,121,3,9
1576,2453,124,2,10
1577,2525,118,1,10
1578,2554,112,0,10
1579,2338,91,2,10
1580,2754,113,4,8
1581,2644,118,3,10
1582,2253,92,0,10
1583,1901,90,2,10
1584,2166,81,4,8
1585,2015,81,2,9
1586,1896,79,2,9
1587,2591,118,2,10
1588,1458,73,3,8
1589,1903,77,1,10
1590,2221,117,3,10
1591,2037,90,1,10
1592,2427,106,1,10
1593,1977,110,1,10
1594,2792,129,3,10
1595,2181,97,1,10
1596,2617,119,0,10
1597,2180,70,3,9
1598,2235,91,2,10
1599,1334,39,4,5
1600,2476,95,2,10
1601,1852,105,2,10
1602,2191,87,0,10
1603,3044,164,3,10
1604,1453,52,0,10
1605,2405,113,2,10
1606,3133,146,1,10
1607,2185,100,1,10
1608,2120,91,2,10
1609,2529,93,2,10
