User_ID,Daily_Steps,Exercise_Duration_min,Calories_Burned,Heart_Rate_bpm,Water_Intake_L
1001,11199,75,646,82,4.1
1002,12013,72,619,71,3.3
1003,11813,57,500,73,3.1
1004,7055,46,412,75,3.4
1005,12269,70,602,67,3.4
1006,5656,59,515,69,3.1
1007,7746,58,511,73,3.4
1008,10009,66,574,73,4.1
1009,14432,67,581,77,3.6
1010,13813,65,563,65,3.2
1011,9265,46,412,74,3.1
1012,9138,74,639,62,3.7
1013,7651,42,378,72,2.2
1014,13031,67,582,74,4.1
1015,12245,51,450,71,2.3
1016,6551,26,251,81,2.3
1017,8150,50,446,73,3.9
1018,11307,77,660,70,3.6
1019,12690,69,599,75,4.5
1020,9079,54,478,76,3.7
1021,13434,93,791,78,4.5
1022,12150,67,577,75,2.8
1023,7019,44,394,72,2.0
1024,9863,69,595,65,3.4
1025,9458,65,561,74,2.6
1026,11303,57,501,75,3.4
1027,10346,56,493,78,3.5
1028,5155,40,366,70,3.4
1029,8509,53,466,69,2.2
1030,6609,61,533,70,3.0
1031,8388,47,416,74,2.1
1032,7548,55,487,67,3.7
1033,10860,67,579,65,2.9
1034,12019,71,611,71,2.8
1035,8362,43,388,67,2.8
1036,13112,71,614,74,3.6
1037,8440,50,444,71,2.8
1038,9143,70,603,60,3.1
1039,8910,49,438,80,3.9
1040,9565,55,481,62,2.7
1041,11013,62,539,72,3.4
1042,14230,99,836,74,3.8
1043,8117,58,504,72,2.2
1044,10555,67,581,79,3.3
1045,4962,36,331,67,2.6
1046,11984,61,537,73,4.4
1047,6609,55,485,80,3.4
1048,12887,66,576,81,4.3
1049,11843,88,750,83,4.5
1050,6881,45,405,72,3.4
1051,10907,70,602,70,3.0
1052,8631,52,462,77,3.3
1053,12920,103,866,67,3.8
1054,12454,56,492,63,3.3
1055,10339,55,485,77,3.4
1056,9310,43,388,73,3.2
1057,11140,48,427,74,2.5
1058,10581,64,556,76,3.4
1059,14754,74,638,76,4.3
1060,4602,29,281,79,3.7
1061,11219,60,521,71,2.6
1062,7224,45,404,76,2.9
1063,11173,46,412,70,3.1
1064,12330,54,474,70,2.8
1065,11826,51,451,71,3.0
1066,9258,55,486,73,3.9
1067,9626,57,501,73,3.0
1068,11952,67,581,65,3.8
1069,10150,64,555,68,3.2
1070,12667,74,641,80,5.0
1071,9525,36,333,75,3.0
1072,10103,56,493,75,3.9
1073,10891,64,559,83,4.3
1074,7358,33,310,77,3.5
1075,10965,45,405,83,3.2
1076,9821,65,565,74,3.9
1077,11496,54,477,72,3.0
1078,10853,72,623,72,4.2
1079,8744,52,464,78,4.7
1080,6290,37,342,78,3.2
1081,7672,54,477,80,3.6
1082,10718,62,544,84,3.8
1083,11493,63,551,78,4.6
1084,9642,46,414,77,3.3
1085,11910,84,719,76,4.2
1086,11961,54,475,75,2.7
1087,9832,70,608,76,4.2
1088,13255,55,488,72,3.9
1089,10056,63,551,72,4.1
1090,7619,56,495,77,3.7
1091,10880,63,550,70,3.2
1092,11749,74,639,73,4.2
1093,13415,87,740,77,4.2
1094,8998,60,529,71,4.0
1095,10694,81,693,71,3.9
1096,7586,72,621,71,4.5
1097,9352,73,629,78,3.6
1098,7494,54,481,80,4.4
1099,11027,58,507,75,2.7
1100,9979,61,530,76,3.2
1101,9063,60,528,88,4.4
1102,8443,37,341,68,3.0
1103,11298,62,541,85,3.6
1104,9864,45,404,79,2.8
1105,9282,48,429,86,3.1
1106,9560,60,532,76,4.9
1107,7085,42,380,74,2.8
1108,11833,59,516,69,3.0
1109,11280,68,590,66,3.8
1110,6428,40,364,76,3.4
1111,7108,45,408,75,3.6
1112,14677,79,683,74,5.0
1113,9109,58,510,71,3.8
1114,7876,28,272,82,3.6
1115,11175,63,546,73,2.5
1116,8265,69,594,72,2.9
1117,10309,28,273,75,4.0
1118,13845,70,604,69,3.1
1119,9193,55,482,71,2.9
1120,7351,32,300,70,2.6
1121,14099,57,501,75,3.8
1122,8782,47,418,68,2.6
1123,7256,38,346,78,2.1
1124,7443,54,476,71,3.3
1125,11416,57,499,78,2.8
1126,7744,53,467,77,2.6
1127,13128,74,634,65,3.0
1128,13681,83,709,73,3.7
1129,10568,56,493,79,4.1
1130,10195,56,491,70,2.8
1131,8672,65,569,73,4.6
1132,11864,81,691,70,3.0
1133,9988,78,667,75,3.3
1134,9109,40,362,74,2.7
1135,7322,35,326,78,4.0
1136,12420,73,630,78,3.9
