User_ID,Screen_Time_hr,Working_Hours,Study_Hours,Break_Time_min,Social_Media_Usage_hr
1001,3.3,2,2,31,1.3
1002,2.8,1,6,34,0.3
1003,4.5,8,1,82,1.8
1004,8.3,8,0,88,2.5
1005,6.8,10,2,97,3.2
1006,8.2,7,0,70,3.7
1007,3.3,8,2,80,2.5
1008,10.4,9,1,84,4.9
1009,9.0,1,7,80,4.2
1010,8.6,7,2,77,3.3
1011,4.1,8,2,106,1.2
1012,7.7,8,2,90,2.8
1013,4.9,7,2,57,2.1
1014,11.4,10,0,93,5.9
1015,6.9,7,0,52,2.4
1016,5.4,0,4,42,2.2
1017,11.5,8,1,91,5.5
1018,4.5,0,5,38,3.5
1019,7.2,6,0,71,4.0
1020,4.1,1,2,37,2.1
1021,3.4,0,4,27,1.4
1022,3.0,7,0,61,1.4
1023,2.6,9,0,85,1.2
1024,9.2,0,4,33,3.7
1025,6.2,7,0,52,3.4
1026,11.3,7,0,45,5.3
1027,8.5,0,4,35,3.8
1028,10.2,7,0,68,4.3
1029,5.2,9,0,76,1.2
1030,4.5,7,0,64,1.9
1031,6.7,8,0,66,2.9
1032,10.4,8,0,60,4.4
1033,7.1,7,0,68,1.1
1034,7.7,0,6,63,3.4
1035,5.9,0,2,18,2.0
1036,8.1,7,3,91,2.9
1037,7.3,0,0,10,3.7
1038,6.9,7,1,62,2.3
1039,7.7,2,3,64,4.5
1040,6.5,0,6,57,2.8
1041,10.0,7,1,78,4.8
1042,3.1,8,0,73,2.7
1043,5.9,1,5,48,2.6
1044,9.7,7,2,79,4.6
1045,6.0,9,0,93,2.7
1046,7.0,7,0,61,3.9
1047,6.2,7,1,59,3.2
1048,5.8,7,2,77,1.7
1049,7.7,7,0,73,2.0
1050,4.1,8,0,79,1.8
1051,6.6,8,3,85,3.8
1052,9.7,7,0,75,3.7
1053,2.6,7,1,81,1.2
1054,8.2,0,0,19,2.8
1055,11.8,6,0,42,4.3
1056,6.3,9,0,59,2.0
1057,7.6,9,2,117,4.2
1058,3.8,1,5,53,0.1
1059,9.2,0,4,31,3.6
1060,6.5,8,1,72,1.8
1061,9.8,7,1,72,3.4
1062,3.7,7,0,46,2.4
1063,3.2,7,0,68,1.6
1064,5.2,6,0,59,2.6
1065,4.2,6,0,57,1.9
1066,10.3,0,8,79,4.6
1067,9.7,7,1,66,4.3
1068,11.7,7,0,69,5.2
1069,3.1,2,4,40,1.4
1070,5.2,8,0,67,2.6
1071,11.7,9,1,89,5.0
1072,3.5,1,4,39,2.0
1073,7.2,1,5,59,4.1
1074,8.7,0,2,10,4.0
1075,4.7,8,0,61,3.1
1076,9.9,0,5,32,3.3
1077,10.6,0,3,41,5.4
1078,6.3,8,0,61,3.1
1079,9.2,7,0,63,3.7
1080,7.5,7,0,56,3.1
1081,9.0,2,5,77,4.5
1082,6.8,9,1,95,2.6
1083,2.8,9,0,81,2.4
1084,5.6,8,0,89,1.8
1085,5.3,8,0,68,1.5
1086,11.3,8,2,76,6.0
1087,6.7,7,0,73,3.6
1088,11.1,9,0,63,6.0
1089,2.6,8,1,78,0.1
1090,8.5,6,1,66,3.5
1091,6.8,7,1,74,2.5
1092,2.9,7,0,75,1.3
1093,6.9,0,5,66,3.1
1094,6.1,6,0,48,4.0
1095,4.5,1,5,59,1.6
1096,3.2,8,0,75,1.9
1097,10.0,1,6,69,5.0
1098,8.3,9,2,97,3.6
1099,8.1,7,2,70,4.3
1100,11.1,7,1,65,5.0
1101,2.6,8,1,62,1.7
1102,7.6,8,1,68,3.3
1103,11.6,6,0,44,4.2
1104,6.8,7,0,60,3.0
1105,7.0,1,2,45,4.6
1106,3.2,7,2,74,1.5
1107,9.2,7,0,77,4.2
1108,9.7,2,3,29,5.7
1109,3.8,10,0,80,0.6
1110,8.6,7,0,62,3.9
1111,6.0,7,0,76,1.7
1112,7.9,10,0,94,3.0
1113,8.9,8,0,81,4.0
1114,3.5,1,5,57,2.5
1115,5.4,0,3,33,2.1
1116,10.5,8,0,87,5.0
1117,4.1,0,5,46,1.6
1118,8.7,0,4,40,4.4
1119,10.4,10,0,78,5.3
1120,8.4,9,2,100,4.9
1121,10.0,6,0,52,4.9
1122,7.1,8,0,75,3.6
1123,10.9,7,0,61,5.0
1124,8.9,7,1,79,5.6
1125,5.7,7,1,66,2.8
1126,7.4,6,0,53,3.3
1127,8.6,9,0,83,4.8
1128,10.0,8,3,100,5.2
1129,4.1,0,4,46,1.2
1130,11.9,10,2,103,6.0
1131,3.9,9,0,80,1.1
1132,7.7,7,3,83,4.0
1133,2.7,11,0,108,0.4
1134,6.7,7,1,67,3.1
1135,2.5,0,5,53,1.8
1136,3.2,1,4,52,1.5
1137,7.7,8,0,54,2.9
1138,6.8,8,0,67,1.6
1139,3.1,2,2,55,1.3
1140,11.3,7,0,67,5.6
1141,5.8,2,3,67,3.3
1142,9.6,0,1,14,5.3
1143,11.6,1,4,50,5.2
1144,11.1,5,1,62,5.4
1145,9.0,6,1,57,3.6
1146,2.7,9,0,74,0.6
1147,8.6,7,0,51,2.9
1148,3.3,9,0,74,1.8
1149,6.6,7,0,65,3.3
1150,11.2,7,1,89,4.9
1151,3.6,8,0,76,2.6
1152,9.2,8,0,56,3.8
1153,5.2,6,1,65,3.9
1154,4.0,7,0,55,1.2
1155,4.8,1,4,35,2.0
1156,6.4,8,0,82,2.6
1157,10.2,0,4,39,5.0
1158,7.4,1,4,42,3.3
1159,5.8,1,6,76,1.8
1160,4.2,0,6,45,0.6
1161,4.9,1,5,49,2.7
1162,11.5,7,0,80,4.2
1163,4.6,0,6,64,1.6
1164,5.6,7,1,74,3.0
1165,7.1,0,3,45,3.5
1166,6.8,7,0,61,2.2
1167,5.4,8,0,57,2.0
1168,2.7,10,0,85,2.1
1169,10.3,8,0,58,4.5
1170,3.2,7,0,67,2.2
1171,10.0,6,0,75,3.0
1172,5.4,2,3,47,2.2
1173,11.2,0,3,33,4.5
1174,7.2,8,1,83,2.7
1175,2.6,7,0,72,0.7
