User_ID,Age,Gender,Occupation,Weight_kg,Height_cm,BMI
1001,56,Male,Student,81.5,157.6,32.8
1002,46,Female,Student,61.5,154.7,25.7
1003,32,Male,Teacher,66.3,167.2,23.7
1004,25,Female,Manager,68.6,168.4,24.2
1005,38,Female,Teacher,54.1,159.8,21.2
1006,56,Female,Salesperson,62.0,171.4,21.1
1007,36,Male,Healthcare Worker,87.2,181.4,26.5
1008,40,Male,Manager,80.1,183.5,23.8
1009,28,Male,Student,75.6,170.5,26.0
1010,28,Male,Manager,58.1,180.6,17.8
1011,41,Male,Software Engineer,69.4,169.7,24.1
1012,53,Female,Teacher,87.3,173.2,29.1
1013,57,Female,Manager,52.2,163.6,19.5
1014,41,Male,Software Engineer,81.7,182.2,24.6
1015,20,Male,Healthcare Worker,53.0,180.9,16.2
1016,39,Male,Student,58.4,177.2,18.6
1017,19,Male,Manager,81.5,170.3,28.1
1018,41,Female,Student,63.5,165.8,23.1
1019,47,Male,Healthcare Worker,83.6,159.9,32.7
1020,55,Male,Student,82.3,176.6,26.4
1021,19,Male,Student,84.7,177.4,26.9
1022,38,Female,Software Engineer,49.2,158.0,19.7
1023,50,Female,Software Engineer,53.7,153.5,22.8
1024,29,Male,Student,58.5,166.1,21.2
1025,39,Female,Teacher,45.9,152.6,19.7
1026,42,Female,Software Engineer,73.0,162.9,27.5
1027,44,Female,Student,72.1,159.3,28.4
1028,59,Male,Software Engineer,79.4,173.8,26.3
1029,45,Female,Salesperson,53.0,159.6,20.8
1030,33,Female,Manager,73.9,168.6,26.0
1031,32,Female,Salesperson,40.4,158.9,16.0
1032,20,Female,Manager,86.1,168.0,30.5
1033,54,Female,Software Engineer,56.9,174.4,18.7
1034,24,Male,Student,58.8,173.7,19.5
1035,38,Female,Student,67.1,163.8,25.0
1036,26,Female,Salesperson,80.9,178.5,25.4
1037,56,Female,Unemployed,63.8,162.4,24.2
1038,35,Male,Software Engineer,60.9,176.7,19.5
1039,21,Female,Student,82.3,166.7,29.6
1040,42,Female,Student,44.5,162.2,16.9
1041,31,Male,Software Engineer,59.4,182.6,17.8
1042,26,Female,Teacher,68.4,168.8,24.0
1043,43,Female,Student,42.3,150.0,18.8
1044,19,Female,Healthcare Worker,76.3,159.5,30.0
1045,37,Male,Software Engineer,56.9,172.2,19.2
1046,45,Male,Healthcare Worker,100.7,178.8,31.5
1047,24,Female,Salesperson,72.7,157.8,29.2
1048,25,Male,Salesperson,93.7,176.4,30.1
1049,52,Female,Manager,81.2,156.9,33.0
1050,31,Male,Manager,75.1,173.7,24.9
1051,34,Female,Manager,53.3,163.6,19.9
1052,53,Male,Manager,78.3,180.6,24.0
1053,57,Female,Teacher,52.5,154.5,22.0
1054,21,Male,Unemployed,69.4,180.5,21.3
1055,19,Male,Salesperson,73.5,170.8,25.2
1056,23,Male,Salesperson,68.3,172.0,23.1
1057,59,Male,Healthcare Worker,58.0,165.8,21.1
1058,21,Female,Student,63.6,164.8,23.4
1059,46,Female,Student,77.2,169.1,27.0
1060,35,Male,Software Engineer,96.8,183.3,28.8
1061,43,Female,Teacher,47.6,165.9,17.3
1062,51,Male,Salesperson,69.1,173.0,23.1
1063,27,Female,Software Engineer,66.9,167.3,23.9
1064,53,Female,Teacher,50.5,162.2,19.2
1065,31,Female,Teacher,58.8,156.5,24.0
1066,48,Male,Student,81.9,180.3,25.2
1067,32,Female,Manager,72.2,164.1,26.8
1068,25,Male,Salesperson,74.7,173.5,24.8
1069,31,Non-binary,Student,62.6,174.7,20.5
1070,40,Male,Teacher,96.9,169.8,33.6
1071,57,Female,Teacher,72.2,160.0,28.2
1072,38,Female,Student,71.5,162.7,27.0
1073,33,Female,Student,84.9,171.1,29.0
1074,35,Male,Unemployed,77.6,174.1,25.6
1075,41,Female,Software Engineer,72.4,154.6,30.3
1076,43,Male,Student,71.3,169.6,24.8
1077,42,Female,Student,70.4,169.5,24.5
1078,58,Male,Manager,84.4,175.5,27.4
1079,46,Male,Manager,95.5,173.8,31.6
1080,32,Female,Manager,77.2,157.1,31.3
1081,18,Male,Student,74.7,165.7,27.2
1082,42,Male,Healthcare Worker,90.9,184.2,26.8
1083,24,Male,Software Engineer,88.3,178.9,27.6
1084,26,Male,Software Engineer,77.4,163.6,28.9
1085,41,Female,Software Engineer,84.4,166.9,30.3
1086,18,Female,Software Engineer,60.3,160.5,23.4
1087,25,Male,Healthcare Worker,94.1,175.9,30.4
1088,41,Male,Healthcare Worker,90.1,186.2,26.0
1089,28,Male,Software Engineer,85.4,176.5,27.4
1090,34,Male,Healthcare Worker,83.7,165.1,30.7
1091,25,Female,Salesperson,82.5,172.0,27.9
1092,52,Female,Healthcare Worker,83.4,170.8,28.6
1093,52,Male,Student,66.2,170.8,22.7
1094,50,Male,Teacher,100.0,179.0,31.2
1095,22,Male,Student,73.6,163.3,27.6
1096,59,Female,Salesperson,72.1,169.5,25.1
1097,56,Female,Student,74.2,158.6,29.5
1098,58,Male,Teacher,102.0,168.1,36.1
1099,45,Male,Software Engineer,58.3,174.2,19.2
1100,24,Female,Software Engineer,55.1,162.3,20.9
1101,26,Female,Manager,91.1,157.8,36.6
1102,25,Male,Healthcare Worker,76.1,169.8,26.4
1103,29,Male,Manager,74.7,171.5,25.4
1104,51,Male,Healthcare Worker,67.0,167.1,24.0
1105,50,Female,Student,73.4,156.7,29.9
1106,40,Male,Teacher,120.9,182.5,36.3
1107,41,Male,Software Engineer,65.8,175.0,21.5
1108,54,Female,Student,66.4,166.0,24.1
1109,52,Male,Teacher,78.5,185.2,22.9
1110,57,Female,Manager,66.0,154.1,27.8
1111,39,Male,Teacher,90.5,173.7,30.0
1112,44,Male,Salesperson,115.0,190.2,31.8
1113,52,Female,Teacher,80.6,169.7,28.0
1114,18,Male,Student,95.5,163.3,35.8
1115,52,Female,Student,51.1,152.7,21.9
1116,54,Female,Teacher,52.4,159.1,20.7
1117,31,Male,Student,101.7,180.8,31.1
1118,20,Female,Student,63.3,158.8,25.1
1119,18,Male,Software Engineer,52.3,169.1,18.3
1120,22,Female,Teacher,64.0,166.4,23.1
1121,43,Male,Software Engineer,75.1,171.0,25.7
1122,31,Female,Salesperson,52.8,156.4,21.6
1123,56,Male,Manager,55.3,166.7,19.9
1124,44,Male,Software Engineer,68.7,170.6,23.6
1125,26,Female,Salesperson,58.3,172.1,19.7
1126,32,Female,Manager,61.6,149.9,27.4
1127,32,Male,Manager,54.1,183.9,16.0
1128,43,Male,Teacher,74.3,172.7,24.9
1129,59,Female,Student,75.2,167.5,26.8
1130,30,Female,Manager,60.7,158.7,24.1
1131,49,Male,Software Engineer,100.9,185.3,29.4
1132,56,Male,Healthcare Worker,57.9,177.9,18.3
1133,49,Male,Salesperson,61.6,170.1,21.3
1134,21,Female,Teacher,54.3,153.7,23.0
1135,47,Male,Student,77.4,167.2,27.7
1136,54,Male,Student,78.5,175.5,25.5
1137,40,Female,Software Engineer,90.4,162.8,34.1
1138,56,Male,Software Engineer,65.0,176.4,20.9
1139,32,Female,Student,50.2,166.0,18.2
1140,46,Male,Teacher,91.6,167.6,32.6
1141,53,Male,Student,50.4,166.8,18.1
1142,30,Male,Unemployed,95.4,185.9,27.6
1143,49,Female,Student,51.9,160.7,20.1
1144,24,Male,Healthcare Worker,56.0,187.1,16.0
1145,39,Female,Healthcare Worker,61.5,164.3,22.8
1146,45,Female,Teacher,80.9,168.5,28.5
1147,19,Female,Salesperson,46.9,157.1,19.0
1148,59,Male,Software Engineer,82.8,174.8,27.1
1149,23,Male,Manager,86.9,176.5,27.9
1150,45,Male,Software Engineer,57.4,174.7,18.8
1151,45,Male,Software Engineer,56.0,154.4,23.5
1152,37,Male,Teacher,109.6,186.2,31.6
1153,47,Female,Software Engineer,72.7,162.9,27.4
1154,28,Male,Teacher,73.2,177.3,23.3
1155,45,Male,Student,80.5,174.6,26.4
1156,42,Male,Software Engineer,66.4,176.1,21.4
1157,56,Female,Student,81.7,166.4,29.5
1158,50,Male,Student,94.8,179.3,29.5
1159,18,Female,Student,65.8,162.2,25.0
1160,44,Male,Student,79.3,176.3,25.5
1161,30,Female,Student,47.7,154.5,20.0
1162,58,Female,Salesperson,50.2,165.2,18.4
1163,20,Male,Student,71.9,177.6,22.8
1164,56,Male,Manager,68.1,168.1,24.1
1165,23,Male,Student,82.9,168.2,29.3
1166,25,Male,Healthcare Worker,89.6,176.7,28.7
1167,44,Female,Software Engineer,72.0,168.7,25.3
1168,26,Female,Software Engineer,91.9,175.3,29.9
1169,54,Female,Teacher,53.5,162.4,20.3
1170,50,Female,Software Engineer,81.4,166.7,29.3
1171,59,Male,Teacher,63.1,173.7,20.9
1172,41,Male,Student,82.5,165.6,30.1
1173,32,Female,Unemployed,63.2,160.9,24.4
1174,49,Male,Software Engineer,52.9,181.8,16.0
1175,49,Female,Software Engineer,79.6,169.2,27.8
1176,41,Male,Manager,83.4,172.3,28.1
1177,58,Male,Software Engineer,68.0,174.2,22.4
1178,29,Non-binary,Salesperson,54.8,155.0,22.8
1179,56,Male,Software Engineer,75.5,178.1,23.8
1180,19,Non-binary,Manager,54.9,185.2,16.0
1181,20,Female,Student,40.1,158.3,16.0
1182,54,Female,Salesperson,75.0,157.1,30.4
1183,34,Female,Salesperson,58.5,167.7,20.8
1184,19,Female,Student,78.5,154.7,32.8
1185,19,Female,Student,84.7,166.1,30.7
1186,45,Male,Software Engineer,99.2,177.2,31.6
1187,40,Male,Unemployed,71.9,182.4,21.6
1188,54,Female,Student,45.5,162.1,17.3
1189,49,Male,Software Engineer,55.3,167.9,19.6
1190,50,Male,Student,63.1,167.4,22.5
1191,18,Male,Software Engineer,46.3,170.1,16.0
1192,36,Female,Teacher,65.3,170.8,22.4
1193,19,Female,Unemployed,62.6,162.9,23.6
1194,43,Male,Teacher,59.1,177.8,18.7
1195,49,Female,Salesperson,48.0,155.7,19.8
1196,23,Female,Teacher,52.5,149.5,23.5
1197,49,Female,Student,63.1,155.5,26.1
1198,21,Female,Software Engineer,54.1,162.4,20.5
1199,28,Female,Teacher,64.9,158.6,25.8
1200,34,Male,Unemployed,69.8,166.7,25.1
1201,55,Female,Healthcare Worker,67.2,165.0,24.7
1202,41,Male,Student,65.2,173.7,21.6
1203,22,Female,Student,44.6,155.3,18.5
1204,51,Non-binary,Student,93.4,170.6,32.1
